Documento;Hora_completa;;Hora;Habitat;Indice;Valor;;;;;
ALLUE-2__0__20200225_142758.wav;142758.wav;14;14;Bosque;ACI;3015,26;;;;;
ALLUE-2__0__20200225_163758.wav;163758.wav;16;16;Bosque;ACI;3016,38;;;;;
ALLUE-2__0__20200225_184758.wav;184758.wav;18;18;Bosque;ACI;3008,03;;;;;
ALLUE-2__0__20200225_205758.wav;205758.wav;20;20;Bosque;ACI;3007,55;;;;;
ALLUE-2__0__20200225_230758.wav;230758.wav;23;23;Bosque;ACI;2997,49;;;;;
ALLUE-2__0__20200226_011758.wav;011758.wav;01;1;Bosque;ACI;2990,74;;;;;
ALLUE-2__0__20200226_032758.wav;032758.wav;03;3;Bosque;ACI;3008,60;;;;;
ALLUE-2__0__20200226_053758.wav;053758.wav;05;5;Bosque;ACI;3010,28;;;;;
ALLUE-2__0__20200226_074758.wav;074758.wav;07;7;Bosque;ACI;3028,37;;;;;
ALLUE-2__0__20200226_095758.wav;095758.wav;09;9;Bosque;ACI;3017,57;;;;;
ALLUE-2__0__20200226_120758.wav;120758.wav;12;12;Bosque;ACI;3023,64;;;;;
ALLUE-2__0__20200226_141758.wav;141758.wav;14;14;Bosque;ACI;3015,19;;;;;
ALLUE-2__0__20200226_162758.wav;162758.wav;16;16;Bosque;ACI;3018,02;;;;;
ALLUE-2__0__20200226_183758.wav;183758.wav;18;18;Bosque;ACI;3023,99;;;;;
ALLUE-2__0__20200226_204758.wav;204758.wav;20;20;Bosque;ACI;3008,57;;;;;
ALLUE-2__0__20200226_225758.wav;225758.wav;22;22;Bosque;ACI;3006,36;;;;;
ALLUE03__0__20210422_104940.wav;104940.wav;10;10;Bosque;ACI;3023,70;;;;;
ALLUE03__0__20210422_125940.wav;125940.wav;12;12;Bosque;ACI;3008,14;;;;;
ALLUE03__0__20210422_150940.wav;150940.wav;15;15;Bosque;ACI;3019,98;;;;;
ALLUE03__0__20210422_171940.wav;171940.wav;17;17;Bosque;ACI;3051,45;;;;;
ALLUE03__0__20210422_192940.wav;192940.wav;19;19;Bosque;ACI;3133,48;;;;;
ALLUE03__0__20210422_213940.wav;213940.wav;21;21;Bosque;ACI;3119,69;;;;;
ALLUE03__0__20210422_234940.wav;234940.wav;23;23;Bosque;ACI;3090,85;;;;;
ALLUE03__0__20210423_015940.wav;015940.wav;01;1;Bosque;ACI;2997,40;;;;;
ALLUE03__0__20210423_040940.wav;040940.wav;04;4;Bosque;ACI;3040,95;;;;;
ALLUE03__0__20210423_061940.wav;061940.wav;06;6;Bosque;ACI;3008,79;;;;;
ALLUE03__0__20210423_082940.wav;082940.wav;08;8;Bosque;ACI;3009,76;;;;;
ALLUE03__0__20210423_103940.wav;103940.wav;10;10;Bosque;ACI;3011,26;;;;;
ALLUE03__0__20210423_124940.wav;124940.wav;12;12;Bosque;ACI;3000,97;;;;;
ALLUE03__0__20210423_145940.wav;145940.wav;14;14;Bosque;ACI;3012,98;;;;;
ALLUE03__0__20210423_170940.wav;170940.wav;17;17;Bosque;ACI;3213,06;;;;;
ALLUE03__0__20210423_191940.wav;191940.wav;19;19;Bosque;ACI;3143,43;;;;;
ALLUE03__0__20210423_212940.wav;212940.wav;21;21;Bosque;ACI;3044,21;;;;;
ALLUE03__0__20210423_233940.wav;233940.wav;23;23;Bosque;ACI;3000,35;;;;;
ALLUE03__0__20210424_014940.wav;014940.wav;01;1;Bosque;ACI;3008,84;;;;;
ALLUE03__0__20210424_035940.wav;035940.wav;03;3;Bosque;ACI;3003,54;;;;;
ALLUE03__0__20210424_060940.wav;060940.wav;06;6;Bosque;ACI;3006,66;;;;;
ALLUE03__0__20210424_081940.wav;081940.wav;08;8;Bosque;ACI;3045,23;;;;;
ALLUE03__0__20210424_102940.wav;102940.wav;10;10;Bosque;ACI;3003,60;;;;;
ALLUE03__0__20210424_123940.wav;123940.wav;12;12;Bosque;ACI;3010,49;;;;;
ALLUE03__0__20210424_144940.wav;144940.wav;14;14;Bosque;ACI;3009,32;;;;;
