Documento;Hora_completa;;Hora;Habitat;Indice;Valor;;;;;
GAVIOTAS2-__0__20200126_194332.wav;194332.wav;19;;Marino;ADI;1.716664;;;;;
GAVIOTAS2-__0__20200126_215332.wav;215332.wav;21;;Marino;ADI;1.811559;;;;;
GAVIOTAS2-__0__20200127_000332.wav;000332.wav;00;;Marino;ADI;1.62237;;;;;
GAVIOTAS2-__0__20200127_021332.wav;021332.wav;02;;Marino;ADI;1.79523;;;;;
GAVIOTAS2-__0__20200127_042332.wav;042332.wav;04;;Marino;ADI;1.086246;;;;;
GAVIOTAS2-__0__20200127_063332.wav;063332.wav;06;;Marino;ADI;1.34456;;;;;
GAVIOTAS2-__0__20200127_084332.wav;084332.wav;08;;Marino;ADI;1.658811;;;;;
GAVIOTAS2-__0__20200127_105332.wav;105332.wav;10;;Marino;ADI;1.076462;;;;;
GAVIOTAS2-__0__20200127_130332.wav;130332.wav;13;;Marino;ADI;1.369728;;;;;
GAVIOTAS2-__0__20200127_151332.wav;151332.wav;15;;Marino;ADI;1.196979;;;;;
GAVIOTAS2-__0__20200127_172332.wav;172332.wav;17;;Marino;ADI;1.36263;;;;;
GAVIOTAS2-__0__20200127_193332.wav;193332.wav;19;;Marino;ADI;1.98201;;;;;
GAVIOTAS2-__0__20200127_214332.wav;214332.wav;21;;Marino;ADI;1.494239;;;;;
GAVIOTAS2-__0__20200127_235332.wav;235332.wav;23;;Marino;ADI;1.544153;;;;;
GAVIOTAS2-__0__20200128_020332.wav;020332.wav;02;;Marino;ADI;1.636046;;;;;
GAVIOTAS2-__0__20200128_041332.wav;041332.wav;04;;Marino;ADI;1.081983;;;;;
GAVIOTAS2-__0__20200128_062332.wav;062332.wav;06;;Marino;ADI;1.593257;;;;;
GAVIOTAS2-__0__20200128_083332.wav;083332.wav;08;;Marino;ADI;1.551234;;;;;
GAVIOTAS2-__0__20200128_104332.wav;104332.wav;10;;Marino;ADI;1.361689;;;;;
GAVIOTAS2-__0__20200128_125332.wav;125332.wav;12;;Marino;ADI;1.365768;;;;;
GAVIOTAS2-__0__20200128_150332.wav;150332.wav;15;;Marino;ADI;1.402724;;;;;
GAVIOTAS2-__0__20200128_171332.wav;171332.wav;17;;Marino;ADI;1.232583;;;;;
GAVIOTAS2-__0__20200128_192332.wav;192332.wav;19;;Marino;ADI;1.500468;;;;;
GAVIOTAS2-__0__20200128_213332.wav;213332.wav;21;;Marino;ADI;1.261308;;;;;
GAVIOTAS2-__0__20200128_234332.wav;234332.wav;23;;Marino;ADI;1.753361;;;;;
HELECHOS2__0__20200122_120036.wav;120036.wav;12;;Bosque;ADI;2.15889;;;;;
HELECHOS2__0__20200122_141036.wav;141036.wav;14;;Bosque;ADI;2.19282;;;;;
HELECHOS2__0__20200122_162036.wav;162036.wav;16;;Bosque;ADI;2.22423;;;;;
HELECHOS2__0__20200122_183036.wav;183036.wav;18;;Bosque;ADI;1.910269;;;;;
HELECHOS2__0__20200122_204036.wav;204036.wav;20;;Bosque;ADI;1.603821;;;;;
HELECHOS2__0__20200122_225036.wav;225036.wav;22;;Bosque;ADI;1.988982;;;;;
HELECHOS2__0__20200123_010036.wav;010036.wav;01;;Bosque;ADI;2.114517;;;;;
HELECHOS2__0__20200123_031036.wav;031036.wav;03;;Bosque;ADI;1.736465;;;;;
HELECHOS2__0__20200123_052036.wav;052036.wav;05;;Bosque;ADI;1.465413;;;;;
HELECHOS2__0__20200123_073036.wav;073036.wav;07;;Bosque;ADI;2.12268;;;;;
HELECHOS2__0__20200123_094036.wav;094036.wav;09;;Bosque;ADI;2.258045;;;;;
HELECHOS2__0__20200123_115036.wav;115036.wav;11;;Bosque;ADI;2.246407;;;;;
HELECHOS2__0__20200123_140036.wav;140036.wav;14;;Bosque;ADI;1.919611;;;;;
HELECHOS2__0__20200123_161036.wav;161036.wav;16;;Bosque;ADI;1.825611;;;;;
HELECHOS2__0__20200123_182036.wav;182036.wav;18;;Bosque;ADI;1.89955;;;;;
HELECHOS2__0__20200123_203036.wav;203036.wav;20;;Bosque;ADI;2.070341;;;;;
HELECHOS2__0__20200123_224036.wav;224036.wav;22;;Bosque;ADI;2.07193;;;;;
HELECHOS2__0__20200124_005036.wav;005036.wav;00;;Bosque;ADI;1.976666;;;;;
HELECHOS2__0__20200124_030036.wav;030036.wav;03;;Bosque;ADI;1.856191;;;;;
HELECHOS2__0__20200124_051036.wav;051036.wav;05;;Bosque;ADI;1.679081;;;;;
HELECHOS2__0__20200124_072036.wav;072036.wav;07;;Bosque;ADI;2.140923;;;;;
HELECHOS2__0__20200124_093036.wav;093036.wav;09;;Bosque;ADI;2.110636;;;;;
HELECHOS2__0__20200124_114036.wav;114036.wav;11;;Bosque;ADI;2.24166;;;;;
HELECHOS2__0__20200124_135036.wav;135036.wav;13;;Bosque;ADI;2.214232;;;;;
HELECHOS2__0__20200124_160036.wav;160036.wav;16;;Bosque;ADI;2.258683;;;;;
HELECHOS2__0__20200124_181036.wav;181036.wav;18;;Bosque;ADI;2.033541;;;;;
HELECHOS2__0__20200124_202036.wav;202036.wav;20;;Bosque;ADI;1.865173;;;;;
HELECHOS2__0__20200124_223036.wav;223036.wav;22;;Bosque;ADI;2.278707;;;;;
HELECHOS2__0__20200125_004036.wav;004036.wav;00;;Bosque;ADI;2.300318;;;;;
HELECHOS2__0__20200125_025036.wav;025036.wav;02;;Bosque;ADI;1.854182;;;;;
HELECHOS2__0__20200125_050036.wav;050036.wav;05;;Bosque;ADI;1.71525;;;;;
HELECHOS2__0__20200125_071036.wav;071036.wav;07;;Bosque;ADI;1.754709;;;;;
HELECHOS2__0__20200125_092036.wav;092036.wav;09;;Bosque;ADI;2.287995;;;;;
HELECHOS2__0__20200125_113036.wav;113036.wav;11;;Bosque;ADI;2.192167;;;;;
HELECHOS2__0__20200125_134036.wav;134036.wav;13;;Bosque;ADI;2.211384;;;;;
HELECHOS2__0__20200125_155036.wav;155036.wav;15;;Bosque;ADI;2.161256;;;;;
HELECHOS2__0__20200125_180036.wav;180036.wav;18;;Bosque;ADI;1.799083;;;;;
HELECHOS2__0__20200125_201036.wav;201036.wav;20;;Bosque;ADI;2.262281;;;;;
HELECHOS2__0__20200125_222036.wav;222036.wav;22;;Bosque;ADI;1.684178;;;;;
HELECHOS2__0__20200126_003036.wav;003036.wav;00;;Bosque;ADI;2.281746;;;;;
HELECHOS2__0__20200126_024036.wav;024036.wav;02;;Bosque;ADI;1.994255;;;;;
HELECHOS2__0__20200126_045036.wav;045036.wav;04;;Bosque;ADI;1.826348;;;;;
HELECHOS2__0__20200126_070036.wav;070036.wav;07;;Bosque;ADI;1.289687;;;;;
HELECHOS2__0__20200126_091036.wav;091036.wav;09;;Bosque;ADI;1.264088;;;;;
HELECHOS2__0__20200126_112036.wav;112036.wav;11;;Bosque;ADI;1.371465;;;;;
HELECHOS2__0__20200126_133036.wav;133036.wav;13;;Bosque;ADI;2.120305;;;;;
HELECHOS2__0__20200126_154036.wav;154036.wav;15;;Bosque;ADI;2.071672;;;;;
HELECHOS2__0__20200126_175036.wav;175036.wav;17;;Bosque;ADI;2.221585;;;;;
HELECHOS2__0__20200126_200036.wav;200036.wav;20;;Bosque;ADI;1.99294;;;;;
HELECHOS2__0__20200126_221036.wav;221036.wav;22;;Bosque;ADI;2.120958;;;;;
HELECHOS2__0__20200127_002036.wav;002036.wav;00;;Bosque;ADI;1.921041;;;;;
HELECHOS2__0__20200127_023036.wav;023036.wav;02;;Bosque;ADI;2.128919;;;;;
HELECHOS2__0__20200127_044036.wav;044036.wav;04;;Bosque;ADI;1.832654;;;;;
HELECHOS2__0__20200127_065036.wav;065036.wav;06;;Bosque;ADI;2.110751;;;;;
HELECHOS2__0__20200127_090036.wav;090036.wav;09;;Bosque;ADI;2.23061;;;;;
HELECHOS2__0__20200127_111036.wav;111036.wav;11;;Bosque;ADI;2.179537;;;;;
HELECHOS2__0__20200127_132036.wav;132036.wav;13;;Bosque;ADI;1.533174;;;;;
HELECHOS2__0__20200127_153036.wav;153036.wav;15;;Bosque;ADI;2.269971;;;;;
HELECHOS2__0__20200127_174036.wav;174036.wav;17;;Bosque;ADI;2.301712;;;;;
HELECHOS2__0__20200127_195036.wav;195036.wav;19;;Bosque;ADI;1.507636;;;;;
HELECHOS2__0__20200127_220036.wav;220036.wav;22;;Bosque;ADI;1.59047;;;;;
HELECHOS2__0__20200128_001036.wav;001036.wav;00;;Bosque;ADI;1.477342;;;;;
HELECHOS2__0__20200128_022036.wav;022036.wav;02;;Bosque;ADI;1.727094;;;;;
HELECHOS2__0__20200128_043036.wav;043036.wav;04;;Bosque;ADI;1.54584;;;;;
HELECHOS2__0__20200128_064036.wav;064036.wav;06;;Bosque;ADI;1.753028;;;;;
HELECHOS2__0__20200128_085036.wav;085036.wav;08;;Bosque;ADI;0.696449;;;;;
HELECHOS2__0__20200128_110036.wav;110036.wav;11;;Bosque;ADI;2.282788;;;;;
HELECHOS2__0__20200128_131036.wav;131036.wav;13;;Bosque;ADI;2.227064;;;;;
HELECHOS2__0__20200128_152036.wav;152036.wav;15;;Bosque;ADI;1.934241;;;;;
HELECHOS2__0__20200128_173036.wav;173036.wav;17;;Bosque;ADI;2.299952;;;;;
HELECHOS2__0__20200128_194036.wav;194036.wav;19;;Bosque;ADI;1.700885;;;;;
HELECHOS2__0__20200128_215036.wav;215036.wav;21;;Bosque;ADI;1.757327;;;;;
HELECHOS2__0__20200129_000036.wav;000036.wav;00;;Bosque;ADI;1.856655;;;;;
HELECHOS2__0__20200129_021036.wav;021036.wav;02;;Bosque;ADI;1.541773;;;;;
HELECHOS2__0__20200129_042036.wav;042036.wav;04;;Bosque;ADI;1.358375;;;;;
HELECHOS2__0__20200129_063036.wav;063036.wav;06;;Bosque;ADI;1.764981;;;;;
HELECHOS2__0__20200129_084036.wav;084036.wav;08;;Bosque;ADI;1.697758;;;;;
HELECHOS2__0__20200129_105036.wav;105036.wav;10;;Bosque;ADI;2.279048;;;;;
HELECHOS2__0__20200129_130036.wav;130036.wav;13;;Bosque;ADI;2.120674;;;;;
HELECHOS2__0__20200129_151036.wav;151036.wav;15;;Bosque;ADI;1.673548;;;;;
HELECHOS2__0__20200129_172036.wav;172036.wav;17;;Bosque;ADI;2.284802;;;;;
HELECHOS2__0__20200129_193036.wav;193036.wav;19;;Bosque;ADI;2.26006;;;;;
HELECHOS2__0__20200129_214036.wav;214036.wav;21;;Bosque;ADI;2.215781;;;;;
HELECHOS2__0__20200129_235036.wav;235036.wav;23;;Bosque;ADI;1.797856;;;;;
HELECHOS03__0__20210323_130247.wav;130247.wav;13;;Bosque;ADI;2.01017;;;;;
HELECHOS03__0__20210323_151242.wav;151242.wav;15;;Bosque;ADI;1.39792;;;;;
HELECHOS03__0__20210323_172242.wav;172242.wav;17;;Bosque;ADI;2.169155;;;;;
HELECHOS03__0__20210323_193242.wav;193242.wav;19;;Bosque;ADI;1.98537;;;;;
HELECHOS03__0__20210323_214242.wav;214242.wav;21;;Bosque;ADI;1.907724;;;;;
HELECHOS03__0__20210323_235242.wav;235242.wav;23;;Bosque;ADI;1.909447;;;;;
HELECHOS03__0__20210324_020242.wav;020242.wav;02;;Bosque;ADI;2.08534;;;;;
HELECHOS03__0__20210324_041242.wav;041242.wav;04;;Bosque;ADI;1.479831;;;;;
HELECHOS03__0__20210324_062242.wav;062242.wav;06;;Bosque;ADI;1.7566;;;;;
HELECHOS03__0__20210324_083242.wav;083242.wav;08;;Bosque;ADI;2.058557;;;;;
HELECHOS03__0__20210324_104242.wav;104242.wav;10;;Bosque;ADI;1.8838;;;;;
HELECHOS03__0__20210324_125242.wav;125242.wav;12;;Bosque;ADI;0.344658;;;;;
HELECHOS03__0__20210324_150242.wav;150242.wav;15;;Bosque;ADI;1.713798;;;;;
HELECHOS03__0__20210324_171242.wav;171242.wav;17;;Bosque;ADI;1.533541;;;;;
HELECHOS03__0__20210324_192242.wav;192242.wav;19;;Bosque;ADI;1.776753;;;;;
HELECHOS03__0__20210324_213242.wav;213242.wav;21;;Bosque;ADI;2.004618;;;;;
HELECHOS03__0__20210324_234242.wav;234242.wav;23;;Bosque;ADI;1.821884;;;;;
HELECHOS03__0__20210325_015242.wav;015242.wav;01;;Bosque;ADI;1.618598;;;;;
HELECHOS03__0__20210325_040242.wav;040242.wav;04;;Bosque;ADI;1.987092;;;;;
HELECHOS03__0__20210325_061242.wav;061242.wav;06;;Bosque;ADI;1.873524;;;;;
HELECHOS03__0__20210325_082242.wav;082242.wav;08;;Bosque;ADI;1.998299;;;;;
HELECHOS03__0__20210325_103242.wav;103242.wav;10;;Bosque;ADI;0.768852;;;;;
HELECHOS03__0__20210325_124242.wav;124242.wav;12;;Bosque;ADI;1.147536;;;;;
HELECHOS03__0__20210325_145242.wav;145242.wav;14;;Bosque;ADI;0.79181;;;;;
HELECHOS03__0__20210325_170242.wav;170242.wav;17;;Bosque;ADI;0.871545;;;;;
HELECHOS03__0__20210325_191242.wav;191242.wav;19;;Bosque;ADI;1.947032;;;;;
HELECHOS03__0__20210325_212242.wav;212242.wav;21;;Bosque;ADI;2.03308;;;;;
HELECHOS03__0__20210325_233242.wav;233242.wav;23;;Bosque;ADI;1.936732;;;;;
HELECHOS03__0__20210326_014242.wav;014242.wav;01;;Bosque;ADI;2.056437;;;;;
HELECHOS03__0__20210326_035242.wav;035242.wav;03;;Bosque;ADI;1.537507;;;;;
HELECHOS03__0__20210326_060242.wav;060242.wav;06;;Bosque;ADI;2.078688;;;;;
HELECHOS03__0__20210326_081242.wav;081242.wav;08;;Bosque;ADI;2.09901;;;;;
HELECHOS03__0__20210326_102242.wav;102242.wav;10;;Bosque;ADI;1.336436;;;;;
HELECHOS03__0__20210326_123242.wav;123242.wav;12;;Bosque;ADI;1.668433;;;;;
HELECHOS03__0__20210326_144242.wav;144242.wav;14;;Bosque;ADI;0.912787;;;;;
HELECHOS03__0__20210326_165242.wav;165242.wav;16;;Bosque;ADI;2.302343;;;;;
HELECHOS03__0__20210326_190242.wav;190242.wav;19;;Bosque;ADI;1.851209;;;;;
HELECHOS03__0__20210326_211242.wav;211242.wav;21;;Bosque;ADI;1.910383;;;;;
HELECHOS03__0__20210326_232242.wav;232242.wav;23;;Bosque;ADI;1.955122;;;;;
HELECHOS03__0__20210327_013242.wav;013242.wav;01;;Bosque;ADI;1.783649;;;;;
HELECHOS03__0__20210327_034242.wav;034242.wav;03;;Bosque;ADI;1.556645;;;;;
HELECHOS03__0__20210327_055242.wav;055242.wav;05;;Bosque;ADI;2.012215;;;;;
HELECHOS03__0__20210327_080242.wav;080242.wav;08;;Bosque;ADI;1.709377;;;;;
HELECHOS03__0__20210327_101242.wav;101242.wav;10;;Bosque;ADI;1.811177;;;;;
HELECHOS03__0__20210327_122242.wav;122242.wav;12;;Bosque;ADI;1.665261;;;;;
HELECHOS03__0__20210327_143242.wav;143242.wav;14;;Bosque;ADI;1.247239;;;;;
HELECHOS03__0__20210327_164242.wav;164242.wav;16;;Bosque;ADI;1.716751;;;;;
HELECHOS03__0__20210327_185242.wav;185242.wav;18;;Bosque;ADI;2.280634;;;;;
HELECHOS03__0__20210327_210242.wav;210242.wav;21;;Bosque;ADI;2.087467;;;;;
HELECHOS03__0__20210327_231242.wav;231242.wav;23;;Bosque;ADI;1.980625;;;;;
HELECHOS03__0__20210328_012242.wav;012242.wav;01;;Bosque;ADI;1.840432;;;;;
HELECHOS03__0__20210328_033242.wav;033242.wav;03;;Bosque;ADI;1.688295;;;;;
HELECHOS03__0__20210328_054242.wav;054242.wav;05;;Bosque;ADI;2.015904;;;;;
HELECHOS03__0__20210328_075242.wav;075242.wav;07;;Bosque;ADI;2.004548;;;;;
HELECHOS03__0__20210328_100242.wav;100242.wav;10;;Bosque;ADI;1.712827;;;;;
HELECHOS03__0__20210328_121242.wav;121242.wav;12;;Bosque;ADI;1.713792;;;;;
HELECHOS03__0__20210328_142242.wav;142242.wav;14;;Bosque;ADI;0.744243;;;;;
HELECHOS03__0__20210328_163242.wav;163242.wav;16;;Bosque;ADI;1.47191;;;;;
HELECHOS03__0__20210328_184242.wav;184242.wav;18;;Bosque;ADI;2.103071;;;;;
HELECHOS03__0__20210328_205242.wav;205242.wav;20;;Bosque;ADI;1.810048;;;;;
HELECHOS03__0__20210328_230242.wav;230242.wav;23;;Bosque;ADI;1.740926;;;;;
HELECHOS03__0__20210329_011242.wav;011242.wav;01;;Bosque;ADI;2.111585;;;;;
HELECHOS03__0__20210329_032242.wav;032242.wav;03;;Bosque;ADI;1.891156;;;;;
HELECHOS03__0__20210329_053242.wav;053242.wav;05;;Bosque;ADI;1.992835;;;;;
HELECHOS03__0__20210329_074242.wav;074242.wav;07;;Bosque;ADI;1.946273;;;;;
HELECHOS03__0__20210329_095242.wav;095242.wav;09;;Bosque;ADI;1.859151;;;;;
HELECHOS03__0__20210329_120242.wav;120242.wav;12;;Bosque;ADI;1.447809;;;;;
HELECHOS03__0__20210329_141242.wav;141242.wav;14;;Bosque;ADI;1.617874;;;;;
HELECHOS03__0__20210329_162242.wav;162242.wav;16;;Bosque;ADI;1.769111;;;;;
HELECHOS03__0__20210329_183242.wav;183242.wav;18;;Bosque;ADI;2.052342;;;;;
HELECHOS03__0__20210329_204242.wav;204242.wav;20;;Bosque;ADI;2.028741;;;;;
HELECHOS03__0__20210329_225242.wav;225242.wav;22;;Bosque;ADI;1.941484;;;;;
HELECHOS03__0__20210330_010242.wav;010242.wav;01;;Bosque;ADI;1.980358;;;;;
HELECHOS03__0__20210330_031242.wav;031242.wav;03;;Bosque;ADI;1.910283;;;;;
HELECHOS03__0__20210330_052242.wav;052242.wav;05;;Bosque;ADI;2.233581;;;;;
HELECHOS03__0__20210330_073242.wav;073242.wav;07;;Bosque;ADI;2.058051;;;;;
HELECHOS03__0__20210330_094242.wav;094242.wav;09;;Bosque;ADI;2.105386;;;;;
HELECHOS03__0__20210330_115242.wav;115242.wav;11;;Bosque;ADI;1.818399;;;;;
HELECHOS03__0__20210330_140242.wav;140242.wav;14;;Bosque;ADI;0.789177;;;;;
HELECHOS03__0__20210330_161242.wav;161242.wav;16;;Bosque;ADI;1.657394;;;;;
HELECHOS03__0__20210330_182242.wav;182242.wav;18;;Bosque;ADI;2.125729;;;;;
HELECHOS03__0__20210330_203242.wav;203242.wav;20;;Bosque;ADI;2.03379;;;;;
HELECHOS03__0__20210330_224242.wav;224242.wav;22;;Bosque;ADI;1.854233;;;;;
ISLAGRANDE01__0__20191214_072840.wav;072840.wav;07;;Marino;ADI;1.528636;;;;;
ISLAGRANDE01__0__20191214_093733.wav;093733.wav;09;;Marino;ADI;1.729824;;;;;
ISLAGRANDE01__0__20191214_114733.wav;114733.wav;11;;Marino;ADI;1.272464;;;;;
ISLAGRANDE01__0__20191214_135733.wav;135733.wav;13;;Marino;ADI;1.550827;;;;;
ISLAGRANDE01__0__20191214_160733.wav;160733.wav;16;;Marino;ADI;2.104129;;;;;
ISLAGRANDE01__0__20191214_181733.wav;181733.wav;18;;Marino;ADI;2.255379;;;;;
ISLAGRANDE01__0__20191214_202733.wav;202733.wav;20;;Marino;ADI;1.868925;;;;;
ISLAGRANDE01__0__20191214_223733.wav;223733.wav;22;;Marino;ADI;1.961283;;;;;
ISLAGRANDE01__0__20191215_004733.wav;004733.wav;00;;Marino;ADI;2.023049;;;;;
ISLAGRANDE01__0__20191215_025733.wav;025733.wav;02;;Marino;ADI;1.899044;;;;;
ISLAGRANDE01__0__20191215_050733.wav;050733.wav;05;;Marino;ADI;2.21462;;;;;
ISLAGRANDE01__0__20191215_071733.wav;071733.wav;07;;Marino;ADI;2.105833;;;;;
ISLAGRANDE01__0__20191215_092733.wav;092733.wav;09;;Marino;ADI;1.137265;;;;;
ISLAGRANDE01__0__20191215_113733.wav;113733.wav;11;;Marino;ADI;1.559355;;;;;
ISLAGRANDE01__0__20191215_134733.wav;134733.wav;13;;Marino;ADI;0.743228;;;;;
ISLAGRANDE01__0__20191215_155733.wav;155733.wav;15;;Marino;ADI;2.19354;;;;;
ISLAGRANDE01__0__20191215_180733.wav;180733.wav;18;;Marino;ADI;2.25965;;;;;
ISLAGRANDE01__0__20191215_201733.wav;201733.wav;20;;Marino;ADI;1.763223;;;;;
ISLAGRANDE01__0__20191215_222733.wav;222733.wav;22;;Marino;ADI;1.712855;;;;;
ISLAGRANDE01__0__20191216_003733.wav;003733.wav;00;;Marino;ADI;1.765106;;;;;
ISLAGRANDE01__0__20191216_024733.wav;024733.wav;02;;Marino;ADI;2.062291;;;;;
ISLAGRANDE01__0__20191216_045733.wav;045733.wav;04;;Marino;ADI;1.764028;;;;;
ISLAGRANDE01__0__20191216_070733.wav;070733.wav;07;;Marino;ADI;1.981621;;;;;
ISLAGRANDE01__0__20191216_091733.wav;091733.wav;09;;Marino;ADI;2.05501;;;;;
ISLAGRANDE01__0__20191216_112733.wav;112733.wav;11;;Marino;ADI;1.792662;;;;;
ISLAGRANDE01__0__20191216_133733.wav;133733.wav;13;;Marino;ADI;0.957925;;;;;
ISLAGRANDE01__0__20191216_154733.wav;154733.wav;15;;Marino;ADI;2.056197;;;;;
ISLAGRANDE01__0__20191216_175733.wav;175733.wav;17;;Marino;ADI;2.222041;;;;;
ISLAGRANDE01__0__20191216_200733.wav;200733.wav;20;;Marino;ADI;1.977671;;;;;
ISLAGRANDE01__0__20191216_221733.wav;221733.wav;22;;Marino;ADI;2.01552;;;;;
ISLAGRANDE01__0__20191217_002733.wav;002733.wav;00;;Marino;ADI;1.829358;;;;;
ISLAGRANDE01__0__20191217_023733.wav;023733.wav;02;;Marino;ADI;1.961501;;;;;
ISLAGRANDE01__0__20191217_044733.wav;044733.wav;04;;Marino;ADI;2.039758;;;;;
ISLAGRANDE01__0__20191217_065733.wav;065733.wav;06;;Marino;ADI;2.268091;;;;;
ISLAGRANDE01__0__20191217_090733.wav;090733.wav;09;;Marino;ADI;0.61923;;;;;
ISLAGRANDE01__0__20191217_111733.wav;111733.wav;11;;Marino;ADI;0.563607;;;;;
ISLAGRANDE01__0__20191217_132733.wav;132733.wav;13;;Marino;ADI;1.218695;;;;;
ISLAGRANDE01__0__20191217_153733.wav;153733.wav;15;;Marino;ADI;2.260656;;;;;
ISLAGRANDE01__0__20191217_174733.wav;174733.wav;17;;Marino;ADI;2.121605;;;;;
ISLAGRANDE01__0__20191217_195733.wav;195733.wav;19;;Marino;ADI;2.008499;;;;;
ISLAGRANDE01__0__20191217_220733.wav;220733.wav;22;;Marino;ADI;1.980764;;;;;
ISLAGRANDE01__0__20191218_001733.wav;001733.wav;00;;Marino;ADI;1.727831;;;;;
ISLAGRANDE01__0__20191218_022733.wav;022733.wav;02;;Marino;ADI;1.938042;;;;;
ISLAGRANDE01__0__20191218_043733.wav;043733.wav;04;;Marino;ADI;1.924626;;;;;
ISLAGRANDE01__0__20191218_064733.wav;064733.wav;06;;Marino;ADI;1.989159;;;;;
ISLAGRANDE01__0__20191218_085733.wav;085733.wav;08;;Marino;ADI;1.337641;;;;;
ISLAGRANDE01__0__20191218_110733.wav;110733.wav;11;;Marino;ADI;1.640642;;;;;
ISLAGRANDE01__0__20191218_131733.wav;131733.wav;13;;Marino;ADI;0.425926;;;;;
ISLAGRANDE01__0__20191218_152733.wav;152733.wav;15;;Marino;ADI;2.117841;;;;;
ISLAGRANDE01__0__20191218_173733.wav;173733.wav;17;;Marino;ADI;1.942133;;;;;
ISLAGRANDE01__0__20191218_194733.wav;194733.wav;19;;Marino;ADI;1.960324;;;;;
ISLAGRANDE01__0__20191218_215733.wav;215733.wav;21;;Marino;ADI;2.076802;;;;;
ISLAGRANDE01__0__20191219_000733.wav;000733.wav;00;;Marino;ADI;1.702185;;;;;
ISLAGRANDE01__0__20191219_021733.wav;021733.wav;02;;Marino;ADI;1.683971;;;;;
ISLAGRANDE01__0__20191219_042733.wav;042733.wav;04;;Marino;ADI;1.860137;;;;;
ISLAGRANDE01__0__20191219_063733.wav;063733.wav;06;;Marino;ADI;2.082412;;;;;
ISLAGRANDE01__0__20191219_084733.wav;084733.wav;08;;Marino;ADI;1.744398;;;;;
ISLAGRANDE01__0__20191219_105733.wav;105733.wav;10;;Marino;ADI;1.228344;;;;;
ISLAGRANDE01__0__20191219_130733.wav;130733.wav;13;;Marino;ADI;0.351811;;;;;
ISLAGRANDE01__0__20191219_151733.wav;151733.wav;15;;Marino;ADI;1.195951;;;;;
ISLAGRANDE01__0__20191219_172733.wav;172733.wav;17;;Marino;ADI;2.132537;;;;;
ISLAGRANDE01__0__20191219_193733.wav;193733.wav;19;;Marino;ADI;2.093537;;;;;
ISLAGRANDE01__0__20191219_214733.wav;214733.wav;21;;Marino;ADI;1.96501;;;;;
ISLAGRANDE01__0__20191219_235733.wav;235733.wav;23;;Marino;ADI;1.740357;;;;;
ISLAGRANDE01__0__20191220_020733.wav;020733.wav;02;;Marino;ADI;1.729562;;;;;
ISLAGRANDE01__0__20191220_041733.wav;041733.wav;04;;Marino;ADI;1.752044;;;;;
ISLAGRANDE01__0__20191220_062733.wav;062733.wav;06;;Marino;ADI;2.05545;;;;;
ISLAGRANDE01__0__20191220_083733.wav;083733.wav;08;;Marino;ADI;2.002591;;;;;
ISLAGRANDE01__0__20191220_104733.wav;104733.wav;10;;Marino;ADI;1.993751;;;;;
ISLAGRANDE01__0__20191220_125733.wav;125733.wav;12;;Marino;ADI;0.277218;;;;;
ISLAGRANDE01__0__20191220_150733.wav;150733.wav;15;;Marino;ADI;1.079297;;;;;
ISLAGRANDE01__0__20191220_171733.wav;171733.wav;17;;Marino;ADI;1.716071;;;;;
ISLAGRANDE01__0__20191220_192733.wav;192733.wav;19;;Marino;ADI;2.048642;;;;;
ISLAGRANDE01__0__20191220_213733.wav;213733.wav;21;;Marino;ADI;1.885114;;;;;
ISLAGRANDE01__0__20191220_234733.wav;234733.wav;23;;Marino;ADI;2.012514;;;;;
ISLA3__0__20210717_111642.wav;111642.wav;11;;Marino;ADI;1.040761;;;;;
ISLA3__0__20210717_132642.wav;132642.wav;13;;Marino;ADI;1.5766;;;;;
ISLA3__0__20210717_153642.wav;153642.wav;15;;Marino;ADI;1.476825;;;;;
ISLA3__0__20210717_174642.wav;174642.wav;17;;Marino;ADI;1.818612;;;;;
ISLA3__0__20210717_195642.wav;195642.wav;19;;Marino;ADI;1.885647;;;;;
ISLA3__0__20210717_220642.wav;220642.wav;22;;Marino;ADI;1.968655;;;;;
ISLA3__0__20210718_001642.wav;001642.wav;00;;Marino;ADI;2.105179;;;;;
ISLA3__0__20210718_022642.wav;022642.wav;02;;Marino;ADI;1.830347;;;;;
ISLA3__0__20210718_043642.wav;043642.wav;04;;Marino;ADI;2.249832;;;;;
ISLA3__0__20210718_064642.wav;064642.wav;06;;Marino;ADI;1.503861;;;;;
ISLA3__0__20210718_085642.wav;085642.wav;08;;Marino;ADI;1.421572;;;;;
ISLA3__0__20210718_110642.wav;110642.wav;11;;Marino;ADI;1.758235;;;;;
ISLA3__0__20210718_131642.wav;131642.wav;13;;Marino;ADI;1.920865;;;;;
ISLA3__0__20210718_152642.wav;152642.wav;15;;Marino;ADI;2.039283;;;;;
ISLA3__0__20210718_173642.wav;173642.wav;17;;Marino;ADI;2.183941;;;;;
ISLA3__0__20210718_194642.wav;194642.wav;19;;Marino;ADI;2.195219;;;;;
ISLA3__0__20210718_215642.wav;215642.wav;21;;Marino;ADI;1.943734;;;;;
ISLA3__0__20210719_000642.wav;000642.wav;00;;Marino;ADI;2.212918;;;;;
ISLA3__0__20210719_021642.wav;021642.wav;02;;Marino;ADI;2.029538;;;;;
ISLA3__0__20210719_042642.wav;042642.wav;04;;Marino;ADI;2.020197;;;;;
ISLA3__0__20210719_063642.wav;063642.wav;06;;Marino;ADI;2.275194;;;;;
